,imgIDX,DICE Grader1,DICE Grader2
0,0,0.5004673111986149,0.47693200639873157
1,1,0.5755755566082426,0.5690340022876157
2,2,0.5374835598421744,0.4767102507873172
3,3,0.507562021374176,0.4464696437095864
4,4,0.5459734907551793,0.5222415825347204
5,5,0.5637933706171553,0.5349608331849742
6,6,0.6914560465631228,0.6135212403762886
7,7,0.6946638477801268,0.5747957992998833
8,8,0.6737935143416461,0.5838430601714751
9,9,0.5991535503858815,0.5316433566433566
10,10,0.6717275826528185,0.5431703841568034
11,11,0.7488242087468827,0.6558652317315147
12,12,0.6897688761334839,0.5820561430757635
13,13,0.699038214733282,0.6044736184938104
14,14,0.5600753675852091,0.4984066787811751
15,15,0.6180565441448623,0.5322371078864905
16,16,0.6481146735166333,0.549438021239947
17,17,0.5549020665839314,0.5194985406000288
18,18,0.45943243336436673,0.4064065136459812
19,19,0.5311694889128663,0.44962180556257475
